epoch,accuracy,loss,val_accuracy,val_loss
0,0.7278,1.2356340932528178,0.8689000010490417,0.5503207119464875
1,0.87808335,0.46359118746121725,0.8962000012397766,0.38485529041290284
2,0.89598334,0.3687501934210459,0.9078999757766724,0.3284942623615265
3,0.90608335,0.3249846238454183,0.9168999791145325,0.2934210448741913
4,0.91438335,0.29518381067911786,0.9253000020980835,0.26938668298721313
5,0.9203167,0.27148742129802705,0.9308000206947327,0.24948023278713227
6,0.92685,0.2512350355784098,0.9336000084877014,0.2294401421070099
7,0.9317333,0.2333057304938634,0.9394999742507935,0.21265904476642608
8,0.93623334,0.2171436588048935,0.9420999884605408,0.19701031106710434
9,0.94083333,0.20229304739634196,0.9460999965667725,0.18400195693969726
10,0.9444,0.1888413783788681,0.949400007724762,0.17209683911800386
11,0.9479667,0.17643078001340232,0.951200008392334,0.16191535400152207
12,0.95163333,0.16527169564565022,0.954800009727478,0.15086119041442872
13,0.9540167,0.15510432081222533,0.9592000246047974,0.14167158383131026
14,0.9575667,0.14582637209097543,0.9621000289916992,0.1326245727777481
15,0.96025,0.13751557706197104,0.9639999866485596,0.12581563482880592
16,0.96238333,0.1299762976725896,0.9661999940872192,0.11904692130684853
17,0.9644333,0.12330598121484121,0.9685999751091003,0.11229359887838364
18,0.96636665,0.11722954099973043,0.9688000082969666,0.1076402697622776
19,0.96818334,0.11168502943913142,0.9704999923706055,0.10235816400647163
